                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3137,                 2.4045,                 1.0379,                0.84191,                0.15914,                0.77075,                0.47589,                 1.2165,                 2.3881,                0.95106,                0.00032,                0.00032,                0.00032
                      2,                 1.1624,                 1.0509,                      1,                0.93691,                0.14264,                0.59839,                0.39348,                 1.2126,                 2.6583,                 1.0142,             0.00063386,             0.00063386,             0.00063386
                      3,                 1.1348,                0.87934,                0.98747,                 0.7677,                0.64141,                 0.7303,                0.49246,                 1.1859,                 1.9046,                0.99749,              0.0009208,              0.0009208,              0.0009208
                      4,                 1.1076,                0.81762,                0.98585,                0.81014,                0.71496,                0.79872,                0.55373,                 1.1148,                 1.6587,                0.97288,              0.0011808,              0.0011808,              0.0011808
                      5,                 1.1078,                0.78019,                 0.9792,                0.87777,                0.68979,                0.85269,                0.58617,                 1.1286,                 1.7274,                 1.0028,              0.0014139,              0.0014139,              0.0014139
                      6,                 1.0975,                 0.7671,                0.98415,                0.83232,                 0.8698,                0.89624,                0.61837,                 1.1362,                0.98113,                0.99842,               0.001604,               0.001604,               0.001604
                      7,                 1.0979,                0.73096,                0.98678,                0.72066,                0.87193,                0.78881,                 0.5354,                 1.1516,                0.98441,                0.99971,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.0869,                0.73186,                0.97659,                0.86706,                0.89434,                0.93511,                0.65088,                 1.1099,                0.75769,                0.98546,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.0789,                0.68396,                0.97452,                0.84928,                0.89755,                0.92185,                0.65776,                  1.022,                0.75327,                0.96446,              0.0013664,              0.0013664,              0.0013664
                     10,                  1.048,                0.66941,                0.96691,                0.84527,                0.90075,                0.93399,                0.67285,                 1.0237,                0.72019,                  0.967,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.0328,                0.65729,                0.96681,                0.87705,                 0.8698,                0.93427,                0.66938,                 1.0572,                0.75027,                0.98237,               0.001208,               0.001208,               0.001208
                     12,                 1.0293,                0.64806,                0.95972,                0.88527,                0.89541,                 0.9477,                0.67869,                 1.0496,                0.67328,                0.96837,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.0298,                0.65149,                0.96288,                0.85064,                 0.9239,                0.95131,                 0.6712,                 1.0271,                0.66598,                0.96346,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.0137,                0.62695,                0.95269,                0.89726,                0.92272,                0.96508,                0.70005,                 1.0065,                0.59385,                0.95799,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.0156,                0.62103,                 0.9567,                0.90052,                 0.9274,                 0.9684,                0.70096,                 1.0136,                0.60303,                   0.96,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.0176,                0.61966,                0.96483,                 0.9018,                0.91676,                0.96457,                0.68562,                 1.0539,                0.62111,                0.97439,               0.000812,               0.000812,               0.000812
                     17,                0.97698,                0.57754,                0.94678,                0.89017,                0.90827,                 0.9575,                0.69192,                 1.0401,                0.66119,                0.96739,              0.0007328,              0.0007328,              0.0007328
                     18,                0.97389,                0.57263,                0.94962,                0.87697,                0.89968,                 0.9519,                 0.6734,                 1.0573,                0.64216,                0.97407,              0.0006536,              0.0006536,              0.0006536
                     19,                0.95656,                0.55459,                0.94792,                0.86381,                0.91889,                0.95369,                0.67971,                 1.0159,                0.73042,                0.96289,              0.0005744,              0.0005744,              0.0005744
                     20,                0.95025,                0.55906,                0.94238,                 0.9003,                0.91556,                0.96868,                0.70458,                0.99878,                0.57962,                 0.9553,              0.0004952,              0.0004952,              0.0004952
                     21,                0.93208,                0.52459,                0.93653,                0.90274,                0.92316,                0.96393,                0.69734,                 1.0421,                0.56957,                0.96431,               0.000416,               0.000416,               0.000416
                     22,                0.93128,                0.51916,                0.93416,                0.90912,                0.93276,                0.97265,                0.71446,                0.99602,                 0.5398,                0.95213,              0.0003368,              0.0003368,              0.0003368
                     23,                0.91415,                0.50787,                0.93351,                 0.9084,                 0.9317,                0.97096,                0.71696,                0.98477,                0.51986,                0.95341,              0.0002576,              0.0002576,              0.0002576
                     24,                0.91263,                0.49704,                0.92505,                0.90897,                0.93783,                0.97091,                0.72156,                0.96473,                0.51455,                0.94054,              0.0001784,              0.0001784,              0.0001784
                     25,                0.89621,                0.48696,                0.92345,                0.91786,                 0.9285,                0.97134,                0.72714,                0.95202,                 0.5059,                0.93763,               9.92e-05,               9.92e-05,               9.92e-05
